Unnamed: 0,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,scaled_loc_dirty
739,1639651643039.jpg,1639651650900.jpg,1639651658974.jpg,1639651667308.jpg,1639651694769.jpg,1,0.6,0.2,0.2,0.2,0.2,0.6,0.2,1.0,0.0,0.0,0.4,0.2,1.0,0.0,0.6,0.2,0.0,1.0
740,1639652010468.jpg,1639652020218.jpg,1639652028623.jpg,1639652036759.jpg,1639652045216.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.8,1.0,0.4,1.0,1.0,0.0,1.0
741,1639652152407.jpg,1639652160517.jpg,1639652167233.jpg,1639652176929.jpg,1639652185245.jpg,0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,1.0,0.0,0.8,1.0,0.0,1.0
742,1639652346006.jpg,1639652355695.jpg,1639652362827.jpg,1639652369637.jpg,1639652378052.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.8,0.4,1.0,0.0,1.0,0.8,0.0,1.0
743,1639652608923.jpg,1639652619156.jpg,1639652633656.jpg,1639652647406.jpg,1639652667170.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.6,1.0,0.8,0.6,1.0,0.0,1.0
744,1639653369315.jpg,1639653378188.jpg,1639653385469.jpg,1639653393338.jpg,1639653404338.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,1.0,0.0,0.8,1.0,0.0,1.0
745,1639653561006.jpg,1639653569140.jpg,1639653580656.jpg,1639653598980.jpg,1639653615415.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,1.0,1.0,0.4,1.0,1.0,0.0,1.0
746,1639654021745.jpg,1639654032428.jpg,1639654043674.jpg,1639654052110.jpg,1639654064940.jpg,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.6,1.0,0.6,0.8,0.8,0.8,1.0,0.0,1.0
747,1639654214144.jpg,1639654221124.jpg,1639654228973.jpg,1639654236220.jpg,1639654245132.jpg,1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.8,0.0,0.6,0.6,0.6,0.8,0.6,1.0,0.8,0.0,1.0
748,1639654595629.jpg,1639654604524.jpg,1639654612017.jpg,1639654621537.jpg,1639654645471.jpg,1,0.2,0.4,0.0,0.4,0.2,0.4,0.0,0.6,0.6,0.0,0.6,0.2,1.0,0.0,0.8,0.8,0.0,1.0
749,1639655001688.jpg,1639655011285.jpg,1639655022314.jpg,1639655030957.jpg,1639655043192.jpg,1,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.2,0.6,0.6,0.4,0.4,0.6,0.6,0.8,0.0,1.0
750,1639655164714.jpg,1639655172788.jpg,1639655182084.jpg,1639655189925.jpg,1639655200191.jpg,2,0.6,0.2,0.0,0.2,0.6,0.6,0.2,1.0,0.0,0.4,0.2,0.0,0.6,0.2,0.6,0.2,0.0,1.0
751,1639655283409.jpg,1639655294886.jpg,1639655308802.jpg,1639655316301.jpg,1639655323655.jpg,5,0.2,0.2,0.2,0.2,0.6,0.2,0.2,1.0,0.2,0.4,0.2,0.0,0.0,0.2,0.6,0.4,0.0,3.0
752,1639655420047.jpg,1639655439238.jpg,1639655448204.jpg,1639655455236.jpg,1639655463796.jpg,1,0.2,0.4,0.4,0.6,0.6,0.4,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.2,0.4,0.6,0.0,1.0
753,1639655568175.jpg,1639655578613.jpg,1639655585593.jpg,1639655593149.jpg,1639655604963.jpg,1,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.8,0.0,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.0,1.0
754,1639655713443.jpg,1639655721525.jpg,1639655727822.jpg,1639655734464.jpg,1639655742905.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.0,1.0
755,1639655881344.jpg,1639655890347.jpg,1639655898017.jpg,1639655905992.jpg,1639655914444.jpg,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.8,1.0,0.8,1.0,0.8,0.6,1.0,0.0,1.0
756,1639656064246.jpg,1639656074688.jpg,1639656083465.jpg,1639656092208.jpg,1639656105789.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,1.0,0.8,0.2,1.0,0.8,0.8,0.6,0.0,1.0
757,1639656288992.jpg,1639656298469.jpg,1639656305621.jpg,1639656313503.jpg,1639656322927.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8,0.6,1.0,1.0,1.0,0.8,0.0,1.0
758,1639656645578.jpg,1639656656723.jpg,1639656663622.jpg,1639656673456.jpg,1639656685279.jpg,1,0.2,0.2,0.2,0.2,0.2,0.2,0.0,1.0,0.0,0.4,0.4,0.4,0.6,0.4,0.6,0.6,0.2,1.0
759,1639657270976.jpg,1639657279748.jpg,1639657292153.jpg,1639657302082.jpg,1639657328758.jpg,2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.6,0.4,0.2,0.4,0.4,0.8,0.4,0.2,1.0
760,1639657579440.jpg,1639657588690.jpg,1639657609953.jpg,1639657619167.jpg,1639657625897.jpg,1,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.4,0.2,0.6,0.6,0.0,0.4,0.0,1.0
761,1639657844415.jpg,1639657854653.jpg,1639657862324.jpg,1639657871971.jpg,1639657880700.jpg,1,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.4,0.8,0.4,0.0,0.0,1.0
762,1639658104527.jpg,1639658114408.jpg,1639658125981.jpg,1639658133884.jpg,1639658141800.jpg,1,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.8,0.0,0.4,0.6,0.0,0.4,0.4,0.8,0.6,0.0,1.0
763,1639658551402.jpg,1639658560721.jpg,1639658568714.jpg,1639658577440.jpg,1639658588419.jpg,2,0.2,0.2,0.2,0.2,0.4,0.2,0.0,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.6,0.0,1.0
764,1639658908815.jpg,1639658920750.jpg,1639658929459.jpg,1639658937051.jpg,1639658947358.jpg,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.2,0.4,0.0,0.8,0.2,0.8,0.6,0.0,1.0
765,1639659121281.jpg,1639659129052.jpg,1639659139883.jpg,1639659147408.jpg,1639659158970.jpg,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.4,0.2,0.2,1.0,0.4,0.8,0.4,0.0,1.0
766,1639659250070.jpg,1639659259346.jpg,1639659267395.jpg,1639659274315.jpg,1639659282801.jpg,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.0,0.2,0.4,0.2,0.8,0.4,0.2,0.6,0.0,1.0
767,1639659634295.jpg,1639659641620.jpg,1639659651247.jpg,1639659666997.jpg,1639659678645.jpg,3,0.2,0.2,0.0,0.6,0.2,0.2,0.4,0.8,0.2,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.0
768,1639659844340.jpg,1639659860779.jpg,1639659894571.jpg,1639659904189.jpg,1639659912860.jpg,1,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.8,0.0,0.2,0.4,0.2,0.6,0.2,0.8,0.2,0.0,1.0
769,1639660507809.jpg,1639660515381.jpg,1639660535595.jpg,1639660542052.jpg,1639660551694.jpg,1,0.4,0.4,0.2,0.4,0.4,0.4,0.0,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.6,0.6,0.2,1.0
770,1639660693679.jpg,1639660701250.jpg,1639660710133.jpg,1639660718403.jpg,1639660727690.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.4,0.2,0.2,0.4,0.4,0.6,0.2,0.2,1.0
771,1639660905403.jpg,1639660914563.jpg,1639660922274.jpg,1639660930197.jpg,1639660945113.jpg,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.0,0.8,0.8,0.8,0.6,0.0,1.0
772,1639662103633.jpg,1639662112908.jpg,1639662128173.jpg,1639662140719.jpg,1639662154617.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,1.0,0.2,0.0,0.4,1.0,1.0,0.0,1.0
773,1639662407626.jpg,1639662424114.jpg,1639662443532.jpg,1639662451654.jpg,1639662477393.jpg,1,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.2,0.4,0.6,0.4,0.4,0.4,0.8,0.8,0.0,1.0
774,1639662649082.jpg,1639662657998.jpg,1639662665501.jpg,1639662676399.jpg,1639662685672.jpg,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.6,0.6,0.4,0.4,0.8,0.4,0.6,0.2,1.0
775,1639662801801.jpg,1639662813855.jpg,1639662828608.jpg,1639662837323.jpg,1639662847735.jpg,0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.6,0.0,0.4,0.6,0.2,0.8,0.2,0.6,0.6,0.0,1.0
776,1639662944100.jpg,1639662960394.jpg,1639662970202.jpg,1639662978493.jpg,1639662988466.jpg,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.2,0.2,0.2,0.6,0.4,0.6,0.2,0.0,1.0
777,1639663108505.jpg,1639663117767.jpg,1639663126486.jpg,1639663133475.jpg,1639663143867.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.2,0.8,0.4,1.0,0.4,0.0,1.0
778,1639663274977.jpg,1639663288190.jpg,1639663297554.jpg,1639663308072.jpg,1639663317922.jpg,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.8,0.2,0.0,0.6,0.8,0.6,0.2,0.0,1.0
779,1639663528808.jpg,1639663539135.jpg,1639663554439.jpg,1639663562358.jpg,1639663576785.jpg,2,1.0,1.0,0.8,1.0,1.0,1.0,0.4,0.4,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0
780,1639663869388.jpg,1639663881477.jpg,1639663894218.jpg,1639663910630.jpg,1639663920934.jpg,5,0.4,0.0,0.0,0.4,0.4,0.4,0.2,0.2,0.4,0.0,0.6,0.0,0.8,0.0,0.4,0.6,0.0,3.0
781,1639036471878.jpg,1639036483530.jpg,1639036499544.jpg,1639036512900.jpg,1639036523311.jpg,0,0.4,0.4,0.4,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0
782,1639036825725.jpg,1639036835089.jpg,1639036847691.jpg,1639036860997.jpg,1639036873812.jpg,0,0.4,0.8,0.6,0.6,0.8,0.4,0.0,0.6,0.4,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,1.0
783,1639036956350.jpg,1639036973071.jpg,1639036986052.jpg,1639036995372.jpg,1639037007418.jpg,0,0.4,0.6,0.6,0.6,0.8,0.4,0.0,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,1.0
784,1639037111599.jpg,1639037125324.jpg,1639037224991.jpg,1639037148791.jpg,1639037169331.jpg,2,0.8,0.8,0.8,1.0,1.0,0.6,0.2,0.2,1.0,0.2,0.0,0.0,0.6,0.2,0.2,0.0,0.2,1.0
785,1639037361464.jpg,1639037372253.jpg,1639037391222.jpg,1639037418363.jpg,1639037455191.jpg,1,0.2,0.4,0.4,0.2,0.6,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,1.0
786,1639037591795.jpg,1639037603411.jpg,1639037622164.jpg,1639037636631.jpg,1639037653121.jpg,8,0.8,1.0,0.8,0.8,1.0,0.6,0.0,0.4,0.6,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0,4.0
787,1639037769860.jpg,1639037784436.jpg,1639037799896.jpg,1639037826827.jpg,1639037839182.jpg,9,0.6,0.8,0.8,0.8,1.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,5.0
788,1639037935842.jpg,1639037948432.jpg,1639037966428.jpg,1639037999440.jpg,1639038015261.jpg,6,0.6,0.6,0.6,0.4,0.8,0.6,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0
789,1639039236797.jpg,1639039250873.jpg,1639039295024.jpg,1639039305201.jpg,1639039341468.jpg,0,0.2,0.2,0.0,0.0,0.4,0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,1.0
790,1639039606770.jpg,1639039670351.jpg,1639039683330.jpg,1639039695702.jpg,1639039750112.jpg,0,0.2,0.4,0.2,0.4,0.4,0.4,0.0,0.6,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.6,0.0,1.0
791,1639063109711.jpg,1639063129834.jpg,1639063166295.jpg,1639063185197.jpg,1639063244272.jpg,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,1.0
792,1639063466707.jpg,1639063483372.jpg,1639063497633.jpg,1639063509204.jpg,1639063524283.jpg,1,0.6,0.2,0.2,0.0,0.4,0.6,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,1.0
793,1639063794927.jpg,1639063813547.jpg,1639063842217.jpg,1639063871189.jpg,1639063913757.jpg,2,0.6,0.4,0.4,0.4,0.8,0.6,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0
794,1639064320578.jpg,1639064333997.jpg,1639064362537.jpg,1639064401167.jpg,1639064441643.jpg,3,0.2,0.2,0.2,0.2,0.2,0.2,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,2.0
795,1639064827685.jpg,1639064868747.jpg,1639064910797.jpg,1639064931095.jpg,1639064982141.jpg,2,0.8,0.4,0.2,0.6,0.4,0.6,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0
796,1639065492669.jpg,1639065512262.jpg,1639065546587.jpg,1639065566442.jpg,1639065590098.jpg,8,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.6,0.6,0.2,0.2,0.0,0.2,0.0,0.2,0.4,0.4,4.0
797,1639065877278.jpg,1639066025787.jpg,1639066039610.jpg,1639066087848.jpg,1639066128033.jpg,10,0.8,0.6,0.6,0.6,0.8,1.0,0.4,1.0,0.8,0.2,0.0,0.0,0.2,0.0,0.8,0.2,0.0,5.0
798,1639066507602.jpg,1639066531552.jpg,1639066561665.jpg,1639066575888.jpg,1639066597981.jpg,7,0.8,0.2,0.0,0.2,0.4,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,4.0
799,1639066786193.jpg,1639066799871.jpg,1639066822422.jpg,1639066842329.jpg,1639066858983.jpg,10,0.6,1.0,0.6,0.6,1.0,0.8,0.4,1.0,0.4,0.6,0.0,0.0,0.0,0.2,0.6,0.0,0.2,5.0
800,1639067132997.jpg,1639067151540.jpg,1639067271452.jpg,1639067224028.jpg,1639067245811.jpg,9,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.8,0.2,0.8,0.2,0.0,0.2,0.4,0.6,0.4,0.2,5.0
801,1640152028120.jpg,1640152052394.jpg,1640152076677.jpg,1640152113372.jpg,1640152179913.jpg,6,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.2,0.4,0.8,0.4,0.8,0.4,0.2,1.0,0.8,3.0
802,1640152438796.jpg,1640152453955.jpg,1640152469804.jpg,1640152482705.jpg,1640152496962.jpg,3,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.8,0.0,0.8,0.6,0.6,1.0,0.8,0.6,0.6,0.4,2.0
803,1640152636165.jpg,1640152646625.jpg,1640152661301.jpg,1640152672430.jpg,1640152682449.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.4,0.4,0.8,0.6,0.6,0.4,0.2,3.0
804,1640152825134.jpg,1640152833395.jpg,1640152843802.jpg,1640152853755.jpg,1640152860479.jpg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.4,0.2,0.4,0.8,1.0,0.4,0.2,2.0
805,1640153389398.jpg,1640153406937.jpg,1640153429297.jpg,1640153443831.jpg,1640153452882.jpg,6,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.2,0.0,0.6,0.2,0.6,0.2,0.2,1.0,0.2,3.0
806,1640153596278.jpg,1640153609230.jpg,1640153621556.jpg,1640153636762.jpg,1640153650663.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.8,0.6,0.4,0.6,0.6,0.6,0.6,1.0
807,1640154187923.jpg,1640154217310.jpg,1640154227571.jpg,1640154240901.jpg,1640154247673.jpg,2,0.0,0.2,0.2,0.6,0.4,0.0,0.4,0.6,0.8,0.2,0.8,0.2,1.0,0.2,0.8,1.0,0.2,1.0
808,1640154499621.jpg,1640154507168.jpg,1640154516873.jpg,1640154525250.jpg,1640154539062.jpg,7,0.2,0.2,0.2,0.4,0.2,0.2,0.6,0.6,0.2,0.6,0.8,0.8,1.0,0.6,0.2,0.8,0.2,4.0
809,1640154752559.jpg,1640154763328.jpg,1640154773123.jpg,1640154780038.jpg,1640154785987.jpg,3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.2,0.8,0.8,0.2,2.0
810,1640155181552.jpg,1640155191283.jpg,1640155204837.jpg,1640155215279.jpg,1640155233338.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.2,0.2,0.6,1.0,0.4,0.4,0.2,3.0
811,1640155693603.jpg,1640155700756.jpg,1640155724025.jpg,1640155737997.jpg,1640155746283.jpg,2,1.0,0.4,0.4,0.6,1.0,1.0,0.8,0.8,0.8,0.2,0.4,0.2,0.4,0.0,0.6,0.8,0.0,1.0
812,1640155958645.jpg,1640155967530.jpg,1640155980476.jpg,1640155989697.jpg,1640155998166.jpg,1,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.8,1.0,0.0,0.4,0.2,0.4,0.0,0.4,0.6,0.4,1.0
813,1640156173059.jpg,1640156186228.jpg,1640156199385.jpg,1640156212487.jpg,1640156242308.jpg,9,0.4,1.0,1.0,1.0,1.0,0.4,0.2,0.4,0.0,0.2,0.6,0.4,0.6,0.2,0.2,0.6,0.4,5.0
814,1640156484774.jpg,1640156493336.jpg,1640156503656.jpg,1640156524697.jpg,1640156552069.jpg,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.4,0.6,0.0,0.4,0.4,0.2,0.4,0.6,4.0
815,1640156787306.jpg,1640156823807.jpg,1640156836991.jpg,1640156845701.jpg,1640156853969.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.4,0.6,0.2,0.4,0.2,0.8,0.8,0.2,1.0
816,1640158366208.jpg,1640158378280.jpg,1640158389394.jpg,1640158395590.jpg,1640158405527.jpg,0,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.6,0.0,0.4,0.2,0.6,0.0,1.0,0.8,0.2,1.0
817,1640158792752.jpg,1640158800964.jpg,1640158811883.jpg,1640158826922.jpg,1640158843635.jpg,0,0.6,0.4,0.2,0.8,0.4,0.6,0.4,0.6,0.4,0.0,1.0,0.6,0.8,0.0,0.8,1.0,0.6,1.0
818,1640159164845.jpg,1640159176825.jpg,1640159205123.jpg,1640159240319.jpg,1640159257029.jpg,5,0.6,0.8,0.8,0.8,0.8,0.6,0.2,0.2,0.2,0.8,1.0,0.6,1.0,0.8,0.4,1.0,0.4,3.0
819,1640159424515.jpg,1640159434987.jpg,1640159448419.jpg,1640159464414.jpg,1640159482870.jpg,6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.0,0.4,0.8,0.6,0.8,0.6,0.4,1.0,0.2,3.0
820,1640159626664.jpg,1640159633453.jpg,1640159648008.jpg,1640159666071.jpg,1640159677416.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0,0.8,0.6,0.4,0.6,1.0,0.6,1.0
821,1640169217435.jpg,1640169226321.jpg,1640169247368.jpg,1640169261033.jpg,1640169281952.jpg,3,0.2,0.2,0.2,0.2,0.4,0.2,0.6,0.6,0.8,0.0,0.6,0.2,0.8,0.0,0.4,1.0,0.0,2.0
822,1640169836823.jpg,1640169845954.jpg,1640169853442.jpg,1640169863217.jpg,1640169869634.jpg,0,0.4,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.8,0.0,1.0,0.2,0.8,0.0,0.6,1.0,0.2,1.0
823,1640170187935.jpg,1640170201363.jpg,1640170208115.jpg,1640170221087.jpg,1640170228724.jpg,1,0.4,0.4,0.4,0.6,0.4,0.6,0.8,0.6,0.8,0.4,0.8,0.4,0.8,0.2,0.4,0.8,0.8,1.0
824,1640171282336.jpg,1640171289748.jpg,1640171299231.jpg,1640171305850.jpg,1640171312264.jpg,3,0.6,0.4,0.2,0.6,0.2,0.6,0.8,0.6,0.8,0.0,0.4,0.0,0.8,0.0,0.4,0.6,0.2,2.0
825,1640172126695.jpg,1640172143505.jpg,1640172166493.jpg,1640172177638.jpg,1640172208749.jpg,5,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.0,0.0,1.0,0.2,0.0,0.6,1.0,0.0,0.6,0.2,3.0
826,1640172744885.jpg,1640172752372.jpg,1640172760192.jpg,1640172767780.jpg,1640172777234.jpg,10,0.6,1.0,1.0,1.0,1.0,0.8,0.8,0.0,0.2,0.6,0.4,0.2,0.6,0.6,0.0,0.8,0.4,5.0
827,1640173040733.jpg,1640173050273.jpg,1640173060971.jpg,1640173073786.jpg,1640173088806.jpg,10,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.0,0.8,0.4,0.2,0.4,0.8,0.0,1.0,0.4,5.0
828,1640173429354.jpg,1640173436090.jpg,1640173452136.jpg,1640173465797.jpg,1640173475239.jpg,7,0.8,1.0,1.0,1.0,1.0,0.8,0.8,0.0,0.4,0.4,0.2,0.0,0.0,0.4,0.2,0.6,0.4,4.0
829,1640159609178.jpg,1640159623312.jpg,1640159634813.jpg,1640159643451.jpg,1640159652314.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.8,0.4,1.0,0.6,0.0,1.0
830,1640159877207.jpg,1640159886518.jpg,1640159902374.jpg,1640159927312.jpg,1640159938590.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.8,0.2,0.6,0.6,0.0,1.0
831,1640160124292.jpg,1640160143338.jpg,1640160151991.jpg,1640160161054.jpg,1640160172725.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.8,0.8,0.2,0.8,0.8,0.8,0.8,0.0,1.0
832,1640160322480.jpg,1640160330353.jpg,1640160340580.jpg,1640160348897.jpg,1640160363210.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.4,0.2,0.8,1.0,0.8,0.8,0.0,1.0
833,1640160598608.jpg,1640160742803.jpg,1640160750421.jpg,1640160759968.jpg,1640160768355.jpg,0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.2,0.6,0.4,0.6,0.2,0.2,0.8,0.0,1.0
834,1640160944275.jpg,1640160954537.jpg,1640160966347.jpg,1640160973962.jpg,1640160982867.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.8,0.8,1.0,0.2,0.8,0.8,0.0,1.0
835,1640161103497.jpg,1640161198387.jpg,1640161218668.jpg,1640161226881.jpg,1640161237788.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.6,1.0,0.2,1.0,1.0,0.0,1.0
836,1640161393498.jpg,1640161402581.jpg,1640161411470.jpg,1640161419887.jpg,1640161428291.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.6,0.6,1.0,1.0,0.8,0.6,0.0,1.0
837,1640162334073.jpg,1640162342709.jpg,1640162352863.jpg,1640162360644.jpg,1640162373939.jpg,2,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.2,0.8,0.8,0.0,1.0
838,1640162500380.jpg,1640162520369.jpg,1640162529338.jpg,1640162540517.jpg,1640162554085.jpg,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.4,0.2,0.6,0.6,0.0,1.0
839,1640163214082.jpg,1640163225840.jpg,1640163233174.jpg,1640163241046.jpg,1640163248519.jpg,1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.2,0.4,0.0,0.8,0.2,1.0,0.8,0.0,1.0
840,1640163352012.jpg,1640163360645.jpg,1640163370520.jpg,1640163377278.jpg,1640163386976.jpg,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.6,0.4,1.0,0.2,0.8,0.6,0.0,1.0
841,1640163566722.jpg,1640163574875.jpg,1640163582977.jpg,1640163591829.jpg,1640163599518.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.4,0.0,0.8,1.0,0.8,0.4,0.0,1.0
842,1640163756059.jpg,1640163764301.jpg,1640163773136.jpg,1640163781849.jpg,1640163790670.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.2,0.0,1.0,0.8,1.0,0.4,0.0,1.0
843,1640163928611.jpg,1640163938314.jpg,1640163945406.jpg,1640163956605.jpg,1640163964893.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.4,0.2,0.8,0.6,0.8,0.4,0.0,1.0
844,1640164138308.jpg,1640164150508.jpg,1640164158729.jpg,1640164170502.jpg,1640164179476.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.4,0.0,0.6,0.8,0.4,0.4,0.2,1.0
845,1640164416930.jpg,1640164435396.jpg,1640164445446.jpg,1640164456439.jpg,1640164467688.jpg,1,0.4,0.2,0.2,0.0,0.6,0.4,0.2,0.4,0.0,0.4,0.2,0.0,0.8,0.4,0.4,0.2,0.0,1.0
846,1640164624380.jpg,1640164643585.jpg,1640164655321.jpg,1640164670250.jpg,1640164689761.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.2,0.0,0.8,1.0,0.4,0.2,0.0,1.0
847,1640165434610.jpg,1640165445674.jpg,1640165457186.jpg,1640165466979.jpg,1640165475290.jpg,1,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.6,0.0,0.8,0.2,0.2,0.0,1.0,0.8,0.0,1.0
